Source,X1,Y1,X2,Y2,Target,Tweets
perth,115.858889,-31.952222,153.033333,-27.466667,brisbane,2325
perth,115.858889,-31.952222,138.601111,-34.928889,adelaide,3938
adelaide,138.601111,-34.928889,147.325,-42.880556,hobart,281
sydney,151.209444,-33.865,149.124417,-35.3075,canberra,8912
sydney,151.209444,-33.865,147.325,-42.880556,hobart,2717
melbourne,144.963056,-37.813611,115.858889,-31.952222,perth,7705
brisbane,153.033333,-27.466667,115.858889,-31.952222,perth,3115
canberra,149.124417,-35.3075,115.858889,-31.952222,perth,867
hobart,147.325,-42.880556,138.601111,-34.928889,adelaide,431
hobart,147.325,-42.880556,153.033333,-27.466667,brisbane,646
adelaide,138.601111,-34.928889,153.033333,-27.466667,brisbane,2236
sydney,151.209444,-33.865,153.033333,-27.466667,brisbane,15253
brisbane,153.033333,-27.466667,144.963056,-37.813611,melbourne,12866
sydney,151.209444,-33.865,138.601111,-34.928889,adelaide,7022
brisbane,153.033333,-27.466667,151.209444,-33.865,sydney,16446
melbourne,144.963056,-37.813611,151.209444,-33.865,sydney,29833
canberra,149.124417,-35.3075,151.209444,-33.865,sydney,7366
canberra,149.124417,-35.3075,144.963056,-37.813611,melbourne,4136
hobart,147.325,-42.880556,115.858889,-31.952222,perth,414
adelaide,138.601111,-34.928889,115.858889,-31.952222,perth,2312
brisbane,153.033333,-27.466667,149.124417,-35.3075,canberra,1998
canberra,149.124417,-35.3075,147.325,-42.880556,hobart,701
brisbane,153.033333,-27.466667,147.325,-42.880556,hobart,1130
sydney,151.209444,-33.865,115.858889,-31.952222,perth,6736
perth,115.858889,-31.952222,144.963056,-37.813611,melbourne,9829
melbourne,144.963056,-37.813611,149.124417,-35.3075,canberra,4926
perth,115.858889,-31.952222,151.209444,-33.865,sydney,7356
melbourne,144.963056,-37.813611,147.325,-42.880556,hobart,3442
hobart,147.325,-42.880556,144.963056,-37.813611,melbourne,4087
hobart,147.325,-42.880556,151.209444,-33.865,sydney,1460
canberra,149.124417,-35.3075,153.033333,-27.466667,brisbane,2131
brisbane,153.033333,-27.466667,138.601111,-34.928889,adelaide,3461
adelaide,138.601111,-34.928889,151.209444,-33.865,sydney,6367
melbourne,144.963056,-37.813611,153.033333,-27.466667,brisbane,11280
melbourne,144.963056,-37.813611,138.601111,-34.928889,adelaide,8759
adelaide,138.601111,-34.928889,144.963056,-37.813611,melbourne,7232
canberra,149.124417,-35.3075,138.601111,-34.928889,adelaide,1097
sydney,151.209444,-33.865,144.963056,-37.813611,melbourne,33272
perth,115.858889,-31.952222,149.124417,-35.3075,canberra,1223
perth,115.858889,-31.952222,147.325,-42.880556,hobart,384
hobart,147.325,-42.880556,149.124417,-35.3075,canberra,343
adelaide,138.601111,-34.928889,149.124417,-35.3075,canberra,810
