Source,X1,Y1,X2,Y2,Target,Users
perth,115.858889,-31.952222,153.033333,-27.466667,brisbane,545
perth,115.858889,-31.952222,138.601111,-34.928889,adelaide,389
adelaide,138.601111,-34.928889,147.325,-42.880556,hobart,93
sydney,151.209444,-33.865,149.124417,-35.3075,canberra,1994
sydney,151.209444,-33.865,147.325,-42.880556,hobart,584
melbourne,144.963056,-37.813611,115.858889,-31.952222,perth,1450
brisbane,153.033333,-27.466667,115.858889,-31.952222,perth,478
canberra,149.124417,-35.3075,115.858889,-31.952222,perth,156
hobart,147.325,-42.880556,138.601111,-34.928889,adelaide,60
hobart,147.325,-42.880556,153.033333,-27.466667,brisbane,113
adelaide,138.601111,-34.928889,153.033333,-27.466667,brisbane,499
sydney,151.209444,-33.865,153.033333,-27.466667,brisbane,2995
brisbane,153.033333,-27.466667,144.963056,-37.813611,melbourne,1986
sydney,151.209444,-33.865,138.601111,-34.928889,adelaide,1370
brisbane,153.033333,-27.466667,151.209444,-33.865,sydney,2536
melbourne,144.963056,-37.813611,151.209444,-33.865,sydney,5985
canberra,149.124417,-35.3075,151.209444,-33.865,sydney,1192
canberra,149.124417,-35.3075,144.963056,-37.813611,melbourne,687
hobart,147.325,-42.880556,115.858889,-31.952222,perth,64
adelaide,138.601111,-34.928889,115.858889,-31.952222,perth,333
brisbane,153.033333,-27.466667,149.124417,-35.3075,canberra,439
canberra,149.124417,-35.3075,147.325,-42.880556,hobart,90
brisbane,153.033333,-27.466667,147.325,-42.880556,hobart,194
sydney,151.209444,-33.865,115.858889,-31.952222,perth,1320
perth,115.858889,-31.952222,144.963056,-37.813611,melbourne,1327
melbourne,144.963056,-37.813611,149.124417,-35.3075,canberra,1016
perth,115.858889,-31.952222,151.209444,-33.865,sydney,1228
melbourne,144.963056,-37.813611,147.325,-42.880556,hobart,862
hobart,147.325,-42.880556,144.963056,-37.813611,melbourne,405
hobart,147.325,-42.880556,151.209444,-33.865,sydney,258
canberra,149.124417,-35.3075,153.033333,-27.466667,brisbane,330
brisbane,153.033333,-27.466667,138.601111,-34.928889,adelaide,545
adelaide,138.601111,-34.928889,151.209444,-33.865,sydney,1128
melbourne,144.963056,-37.813611,153.033333,-27.466667,brisbane,2207
melbourne,144.963056,-37.813611,138.601111,-34.928889,adelaide,1678
adelaide,138.601111,-34.928889,144.963056,-37.813611,melbourne,1323
canberra,149.124417,-35.3075,138.601111,-34.928889,adelaide,225
sydney,151.209444,-33.865,144.963056,-37.813611,melbourne,5915
perth,115.858889,-31.952222,149.124417,-35.3075,canberra,211
perth,115.858889,-31.952222,147.325,-42.880556,hobart,105
hobart,147.325,-42.880556,149.124417,-35.3075,canberra,47
adelaide,138.601111,-34.928889,149.124417,-35.3075,canberra,225
