DayOfWeek,SentimentBand,Count,Total
Sunday,-95,2722,13207600
Sunday,-90,17039,13207600
Sunday,-85,48517,13207600
Sunday,-80,70160,13207600
Sunday,-75,90901,13207600
Sunday,-70,106977,13207600
Sunday,-65,116092,13207600
Sunday,-60,132725,13207600
Sunday,-55,160150,13207600
Sunday,-50,227405,13207600
Sunday,-45,229313,13207600
Sunday,-40,127973,13207600
Sunday,-35,190742,13207600
Sunday,-30,176866,13207600
Sunday,-25,230041,13207600
Sunday,-20,150679,13207600
Sunday,-15,108966,13207600
Sunday,-10,112632,13207600
Sunday,-5,112816,13207600
Sunday,0,5587757,13207600
Sunday,5,83646,13207600
Sunday,10,139087,13207600
Sunday,15,106713,13207600
Sunday,20,153686,13207600
Sunday,25,226997,13207600
Sunday,30,220409,13207600
Sunday,35,304043,13207600
Sunday,40,455321,13207600
Sunday,45,457155,13207600
Sunday,50,348633,13207600
Sunday,55,322733,13207600
Sunday,60,411386,13207600
Sunday,65,379035,13207600
Sunday,70,299262,13207600
Sunday,75,307429,13207600
Sunday,80,276411,13207600
Sunday,85,290663,13207600
Sunday,90,247174,13207600
Sunday,95,151860,13207600
Sunday,100,25484,13207600
Monday,-95,2097,13853914
Monday,-90,18044,13853914
Monday,-85,56812,13853914
Monday,-80,76092,13853914
Monday,-75,95975,13853914
Monday,-70,119052,13853914
Monday,-65,127690,13853914
Monday,-60,141688,13853914
Monday,-55,176156,13853914
Monday,-50,245746,13853914
Monday,-45,231565,13853914
Monday,-40,140483,13853914
Monday,-35,205121,13853914
Monday,-30,188189,13853914
Monday,-25,257656,13853914
Monday,-20,178163,13853914
Monday,-15,109833,13853914
Monday,-10,133137,13853914
Monday,-5,121405,13853914
Monday,0,5786737,13853914
Monday,5,92676,13853914
Monday,10,150306,13853914
Monday,15,116058,13853914
Monday,20,170546,13853914
Monday,25,247243,13853914
Monday,30,235321,13853914
Monday,35,333216,13853914
Monday,40,482228,13853914
Monday,45,454777,13853914
Monday,50,381198,13853914
Monday,55,343536,13853914
Monday,60,424532,13853914
Monday,65,389322,13853914
Monday,70,301617,13853914
Monday,75,315215,13853914
Monday,80,286534,13853914
Monday,85,299410,13853914
Monday,90,254476,13853914
Monday,95,140999,13853914
Monday,100,23063,13853914
Tuesday,-95,1673,14199777
Tuesday,-90,16696,14199777
Tuesday,-85,83703,14199777
Tuesday,-80,73766,14199777
Tuesday,-75,98636,14199777
Tuesday,-70,121188,14199777
Tuesday,-65,129934,14199777
Tuesday,-60,141577,14199777
Tuesday,-55,169141,14199777
Tuesday,-50,238833,14199777
Tuesday,-45,228653,14199777
Tuesday,-40,150880,14199777
Tuesday,-35,209667,14199777
Tuesday,-30,196344,14199777
Tuesday,-25,261597,14199777
Tuesday,-20,178629,14199777
Tuesday,-15,120248,14199777
Tuesday,-10,173790,14199777
Tuesday,-5,121285,14199777
Tuesday,0,5985299,14199777
Tuesday,5,94102,14199777
Tuesday,10,152906,14199777
Tuesday,15,117762,14199777
Tuesday,20,172232,14199777
Tuesday,25,258656,14199777
Tuesday,30,247949,14199777
Tuesday,35,323724,14199777
Tuesday,40,495990,14199777
Tuesday,45,478689,14199777
Tuesday,50,387951,14199777
Tuesday,55,343582,14199777
Tuesday,60,425068,14199777
Tuesday,65,401373,14199777
Tuesday,70,301362,14199777
Tuesday,75,318146,14199777
Tuesday,80,303805,14199777
Tuesday,85,290408,14199777
Tuesday,90,226210,14199777
Tuesday,95,135350,14199777
Tuesday,100,22973,14199777
Wednesday,-95,1706,14178378
Wednesday,-90,17122,14178378
Wednesday,-85,65376,14178378
Wednesday,-80,75330,14178378
Wednesday,-75,95295,14178378
Wednesday,-70,111456,14178378
Wednesday,-65,138081,14178378
Wednesday,-60,145454,14178378
Wednesday,-55,173052,14178378
Wednesday,-50,241651,14178378
Wednesday,-45,227227,14178378
Wednesday,-40,152198,14178378
Wednesday,-35,208284,14178378
Wednesday,-30,189523,14178378
Wednesday,-25,248068,14178378
Wednesday,-20,170884,14178378
Wednesday,-15,120612,14178378
Wednesday,-10,146026,14178378
Wednesday,-5,117566,14178378
Wednesday,0,6041578,14178378
Wednesday,5,91218,14178378
Wednesday,10,151420,14178378
Wednesday,15,119672,14178378
Wednesday,20,177068,14178378
Wednesday,25,256311,14178378
Wednesday,30,239982,14178378
Wednesday,35,340285,14178378
Wednesday,40,487544,14178378
Wednesday,45,463980,14178378
Wednesday,50,382543,14178378
Wednesday,55,345186,14178378
Wednesday,60,434406,14178378
Wednesday,65,391904,14178378
Wednesday,70,298537,14178378
Wednesday,75,342066,14178378
Wednesday,80,296739,14178378
Wednesday,85,284531,14178378
Wednesday,90,223984,14178378
Wednesday,95,140044,14178378
Wednesday,100,24469,14178378
Thursday,-95,2356,14599412
Thursday,-90,17870,14599412
Thursday,-85,53849,14599412
Thursday,-80,79190,14599412
Thursday,-75,95660,14599412
Thursday,-70,113084,14599412
Thursday,-65,132856,14599412
Thursday,-60,165188,14599412
Thursday,-55,169838,14599412
Thursday,-50,264407,14599412
Thursday,-45,236379,14599412
Thursday,-40,168884,14599412
Thursday,-35,215359,14599412
Thursday,-30,192493,14599412
Thursday,-25,255285,14599412
Thursday,-20,173854,14599412
Thursday,-15,114801,14599412
Thursday,-10,127848,14599412
Thursday,-5,119052,14599412
Thursday,0,6308512,14599412
Thursday,5,90654,14599412
Thursday,10,153075,14599412
Thursday,15,121428,14599412
Thursday,20,175237,14599412
Thursday,25,253787,14599412
Thursday,30,250141,14599412
Thursday,35,327188,14599412
Thursday,40,488880,14599412
Thursday,45,466546,14599412
Thursday,50,393095,14599412
Thursday,55,345575,14599412
Thursday,60,443067,14599412
Thursday,65,404036,14599412
Thursday,70,330999,14599412
Thursday,75,338953,14599412
Thursday,80,320452,14599412
Thursday,85,292565,14599412
Thursday,90,231650,14599412
Thursday,95,140732,14599412
Thursday,100,24587,14599412
Friday,-95,1725,14421420
Friday,-90,18891,14421420
Friday,-85,49430,14421420
Friday,-80,74705,14421420
Friday,-75,91373,14421420
Friday,-70,111406,14421420
Friday,-65,133844,14421420
Friday,-60,155401,14421420
Friday,-55,165394,14421420
Friday,-50,240183,14421420
Friday,-45,232688,14421420
Friday,-40,156684,14421420
Friday,-35,205759,14421420
Friday,-30,186638,14421420
Friday,-25,253540,14421420
Friday,-20,164655,14421420
Friday,-15,112891,14421420
Friday,-10,116349,14421420
Friday,-5,115066,14421420
Friday,0,6223231,14421420
Friday,5,87306,14421420
Friday,10,151550,14421420
Friday,15,120578,14421420
Friday,20,176022,14421420
Friday,25,251688,14421420
Friday,30,255372,14421420
Friday,35,311260,14421420
Friday,40,489520,14421420
Friday,45,466838,14421420
Friday,50,393358,14421420
Friday,55,349011,14421420
Friday,60,463293,14421420
Friday,65,401749,14421420
Friday,70,315322,14421420
Friday,75,332677,14421420
Friday,80,318236,14421420
Friday,85,313669,14421420
Friday,90,243227,14421420
Friday,95,144844,14421420
Friday,100,26047,14421420
Saturday,-95,1761,13263182
Saturday,-90,19111,13263182
Saturday,-85,48149,13263182
Saturday,-80,69160,13263182
Saturday,-75,96890,13263182
Saturday,-70,102832,13263182
Saturday,-65,113838,13263182
Saturday,-60,137046,13263182
Saturday,-55,154635,13263182
Saturday,-50,217734,13263182
Saturday,-45,245098,13263182
Saturday,-40,128964,13263182
Saturday,-35,186590,13263182
Saturday,-30,167877,13263182
Saturday,-25,234977,13263182
Saturday,-20,152761,13263182
Saturday,-15,103048,13263182
Saturday,-10,106314,13263182
Saturday,-5,103257,13263182
Saturday,0,5676840,13263182
Saturday,5,86442,13263182
Saturday,10,141653,13263182
Saturday,15,106326,13263182
Saturday,20,152098,13263182
Saturday,25,225979,13263182
Saturday,30,235398,13263182
Saturday,35,285445,13263182
Saturday,40,450940,13263182
Saturday,45,468140,13263182
Saturday,50,356272,13263182
Saturday,55,332433,13263182
Saturday,60,408905,13263182
Saturday,65,368698,13263182
Saturday,70,289104,13263182
Saturday,75,312399,13263182
Saturday,80,277598,13263182
Saturday,85,303186,13263182
Saturday,90,226074,13263182
Saturday,95,141110,13263182
Saturday,100,28100,13263182
