DayOfWeek,Hour,Average
Sunday,01,0.128498980902887
Sunday,15,0.125996669888892
Sunday,16,0.128793449524745
Sunday,19,0.130898244769152
Sunday,10,0.129950502587691
Sunday,22,0.126831057964081
Sunday,23,0.128202160409873
Sunday,08,0.130029412696324
Sunday,04,0.126407439834761
Sunday,03,0.126626488469693
Sunday,11,0.129659704449848
Sunday,00,0.127219545364951
Sunday,02,0.128553446797135
Sunday,13,0.12813928627712
Sunday,17,0.124808586369968
Sunday,14,0.126895378860906
Sunday,18,0.130983891198196
Sunday,20,0.130412023882172
Sunday,21,0.130477458148981
Sunday,05,0.127681653181822
Sunday,12,0.1271120797636
Sunday,09,0.127942838167205
Sunday,06,0.130856426144104
Sunday,07,0.127537864039751
Monday,08,0.124412754719417
Monday,03,0.125558624755956
Monday,10,0.127170775941832
Monday,07,0.124029510008412
Monday,06,0.124625919533101
Monday,02,0.124335620502716
Monday,16,0.121476627033304
Monday,09,0.128468905188143
Monday,11,0.123966874045726
Monday,20,0.122185889233025
Monday,04,0.127092842976167
Monday,05,0.125900188672069
Monday,22,0.11442460099311
Monday,14,0.122054901147708
Monday,18,0.116511609865745
Monday,00,0.129489531816727
Monday,01,0.127214305536174
Monday,15,0.121372933587352
Monday,19,0.120637162705044
Monday,21,0.115987163038516
Monday,12,0.12063585801128
Monday,13,0.120504437561483
Monday,23,0.118845041492267
Monday,17,0.120266531036618
Tuesday,09,0.12087224925906
Tuesday,01,0.121533244825543
Tuesday,12,0.119731004300345
Tuesday,04,0.12464407364396
Tuesday,15,0.11411217778832
Tuesday,07,0.11586001198381
Tuesday,13,0.116004503145703
Tuesday,18,0.10801215213282
Tuesday,10,0.121959600172982
Tuesday,21,0.116370019164017
Tuesday,16,0.113892380617336
Tuesday,03,0.123265948074511
Tuesday,05,0.124033395684056
Tuesday,06,0.120834951496912
Tuesday,22,0.114664123811087
Tuesday,11,0.12227298986268
Tuesday,00,0.119752997401943
Tuesday,08,0.116142453243008
Tuesday,02,0.120707880560361
Tuesday,17,0.111097677347314
Tuesday,20,0.118098617058104
Tuesday,14,0.114800115438407
Tuesday,23,0.115508032893159
Tuesday,19,0.114942623971634
Wednesday,06,0.12022655771587
Wednesday,07,0.11990399339418
Wednesday,17,0.11576951556887
Wednesday,18,0.116431399607848
Wednesday,05,0.120659599403923
Wednesday,12,0.120926687833926
Wednesday,19,0.118448444719298
Wednesday,10,0.125140887924709
Wednesday,03,0.118914362004189
Wednesday,21,0.119959515220914
Wednesday,11,0.123291671199247
Wednesday,22,0.119830966562288
Wednesday,09,0.12409596815886
Wednesday,13,0.118944058760947
Wednesday,14,0.119917771248318
Wednesday,15,0.120000661337768
Wednesday,00,0.115371512920078
Wednesday,01,0.116522835179135
Wednesday,20,0.120006014110155
Wednesday,02,0.116409777087119
Wednesday,08,0.119693763393405
Wednesday,04,0.119517730222624
Wednesday,16,0.119318143544577
Wednesday,23,0.117334984681088
Thursday,23,0.120229878580213
Thursday,20,0.123318980852953
Thursday,07,0.117396443727473
Thursday,09,0.121608479812932
Thursday,14,0.118017521998091
Thursday,22,0.120809485359524
Thursday,13,0.115599558681697
Thursday,16,0.115731508515968
Thursday,11,0.120237779515863
Thursday,12,0.118032970609171
Thursday,17,0.11403990305569
Thursday,21,0.120482474876971
Thursday,00,0.117614897068997
Thursday,02,0.119784847828616
Thursday,08,0.117671347190391
Thursday,04,0.119040656279011
Thursday,01,0.119437253606566
Thursday,03,0.121244622109139
Thursday,05,0.120909795277627
Thursday,19,0.119989247052805
Thursday,18,0.116932684166699
Thursday,10,0.121252279357631
Thursday,06,0.119486590501429
Thursday,15,0.116113169004482
Friday,10,0.128055093937152
Friday,12,0.127704010214997
Friday,13,0.125563875053611
Friday,23,0.12702534071837
Friday,02,0.12498101436642
Friday,07,0.124518008286304
Friday,11,0.126849769870694
Friday,14,0.125150937431048
Friday,06,0.125668275397924
Friday,15,0.124943904540354
Friday,21,0.124491999551829
Friday,22,0.12551004803732
Friday,01,0.120858347042369
Friday,00,0.121812856867193
Friday,16,0.126860799340003
Friday,09,0.129568403293961
Friday,20,0.126507824195867
Friday,17,0.125931664118483
Friday,04,0.128150038437632
Friday,19,0.126767279589187
Friday,18,0.122753294862346
Friday,08,0.125358202327849
Friday,03,0.125433504445261
Friday,05,0.12647865812299
Saturday,12,0.125899367095343
Saturday,18,0.123853085126098
Saturday,11,0.126322626534036
Saturday,04,0.129108518238698
Saturday,07,0.127513015561448
Saturday,20,0.127794071889827
Saturday,23,0.125234255490084
Saturday,05,0.130207777988513
Saturday,09,0.128980978022387
Saturday,00,0.129921867054178
Saturday,02,0.129188849130528
Saturday,13,0.125071271948048
Saturday,21,0.124878281710762
Saturday,22,0.125565648469869
Saturday,15,0.122924456875551
Saturday,19,0.129845429097382
Saturday,16,0.122191587681816
Saturday,08,0.128838498964893
Saturday,01,0.127912549065144
Saturday,17,0.126458023817833
Saturday,10,0.128420189564672
Saturday,06,0.130608100930213
Saturday,14,0.121808687048859
Saturday,03,0.130365171288522
