Location,YearMth,HasPlace,HasGeo,Count
Adelaide,2017-06-01,F,F,342087
Adelaide,2017-06-01,T,F,16454
Adelaide,2017-06-01,T,T,2836
Adelaide,2017-06-01,F,T,11
Adelaide,2017-07-01,F,F,582680
Adelaide,2017-07-01,T,F,28657
Adelaide,2017-07-01,T,T,4268
Adelaide,2017-07-01,F,T,14
Adelaide,2017-08-01,F,F,709938
Adelaide,2017-08-01,T,T,5050
Adelaide,2017-08-01,T,F,32096
Adelaide,2017-08-01,F,T,10
Adelaide,2017-09-01,F,F,605992
Adelaide,2017-09-01,T,F,32026
Adelaide,2017-09-01,T,T,4546
Adelaide,2017-09-01,F,T,13
Adelaide,2017-10-01,F,F,592570
Adelaide,2017-10-01,T,F,30701
Adelaide,2017-10-01,T,T,4921
Adelaide,2017-10-01,F,T,24
Adelaide,2017-11-01,F,F,641860
Adelaide,2017-11-01,T,F,33889
Adelaide,2017-11-01,T,T,5373
Adelaide,2017-11-01,F,T,18
Adelaide,2017-12-01,F,F,644300
Adelaide,2017-12-01,T,F,34337
Adelaide,2017-12-01,T,T,5365
Adelaide,2017-12-01,F,T,15
Adelaide,2018-01-01,F,F,659295
Adelaide,2018-01-01,T,T,4781
Adelaide,2018-01-01,T,F,44412
Adelaide,2018-01-01,F,T,37
Adelaide,2018-02-01,F,F,636677
Adelaide,2018-02-01,T,F,39357
Adelaide,2018-02-01,T,T,4499
Adelaide,2018-02-01,F,T,13
Adelaide,2018-03-01,F,F,678175
Adelaide,2018-03-01,T,F,45005
Adelaide,2018-03-01,T,T,5501
Adelaide,2018-03-01,F,T,21
Adelaide,2018-04-01,F,F,335174
Adelaide,2018-04-01,T,F,18753
Adelaide,2018-04-01,T,T,2145
Adelaide,2018-04-01,F,T,6
Brisbane,2016-12-01,T,T,54
Brisbane,2017-01-01,T,T,3643
Brisbane,2017-01-01,F,T,6
Brisbane,2017-06-01,F,F,741286
Brisbane,2017-06-01,T,F,39703
Brisbane,2017-06-01,T,T,5137
Brisbane,2017-06-01,F,T,16
Brisbane,2017-07-01,F,F,489759
Brisbane,2017-07-01,T,T,3716
Brisbane,2017-07-01,T,F,27791
Brisbane,2017-07-01,F,T,16
Brisbane,2017-08-01,F,F,797435
Brisbane,2017-08-01,T,F,48345
Brisbane,2017-08-01,T,T,5907
Brisbane,2017-08-01,F,T,10
Brisbane,2017-09-01,F,F,994172
Brisbane,2017-09-01,T,F,67499
Brisbane,2017-09-01,T,T,6646
Brisbane,2017-09-01,F,T,17
Brisbane,2017-10-01,F,F,1101664
Brisbane,2017-10-01,T,F,73299
Brisbane,2017-10-01,T,T,7062
Brisbane,2017-10-01,F,T,21
Brisbane,2017-11-01,F,F,1394897
Brisbane,2017-11-01,T,T,8084
Brisbane,2017-11-01,T,F,80154
Brisbane,2017-11-01,F,T,37
Brisbane,2017-12-01,F,F,1206736
Brisbane,2017-12-01,T,F,65885
Brisbane,2017-12-01,T,T,8232
Brisbane,2017-12-01,F,T,13
Brisbane,2018-01-01,F,F,1283907
Brisbane,2018-01-01,T,F,77123
Brisbane,2018-01-01,T,T,6616
Brisbane,2018-01-01,F,T,27
Brisbane,2018-02-01,F,F,1221488
Brisbane,2018-02-01,T,T,6473
Brisbane,2018-02-01,T,F,71449
Brisbane,2018-02-01,F,T,21
Brisbane,2018-03-01,F,F,1331582
Brisbane,2018-03-01,T,F,85065
Brisbane,2018-03-01,T,T,7824
Brisbane,2018-03-01,F,T,34
Brisbane,2018-04-01,F,F,610989
Brisbane,2018-04-01,T,F,40478
Brisbane,2018-04-01,T,T,3481
Brisbane,2018-04-01,F,T,13
Canberra,2017-06-01,F,F,153888
Canberra,2017-06-01,T,F,7234
Canberra,2017-06-01,T,T,1307
Canberra,2017-07-01,F,F,285577
Canberra,2017-07-01,T,F,12142
Canberra,2017-07-01,T,T,2787
Canberra,2017-08-01,F,F,371846
Canberra,2017-08-01,T,F,14161
Canberra,2017-08-01,T,T,2789
Canberra,2017-09-01,F,F,331819
Canberra,2017-09-01,T,F,12358
Canberra,2017-09-01,T,T,2547
Canberra,2017-10-01,F,F,395871
Canberra,2017-10-01,T,F,16999
Canberra,2017-10-01,T,T,2716
Canberra,2017-11-01,F,F,489118
Canberra,2017-11-01,T,F,18319
Canberra,2017-11-01,T,T,2867
Canberra,2017-12-01,F,F,419365
Canberra,2017-12-01,T,F,15217
Canberra,2017-12-01,T,T,2936
Canberra,2018-01-01,F,F,332964
Canberra,2018-01-01,T,F,16551
Canberra,2018-01-01,T,T,2835
Canberra,2018-01-01,F,T,1
Canberra,2018-02-01,F,F,430854
Canberra,2018-02-01,T,F,18677
Canberra,2018-02-01,T,T,2513
Canberra,2018-03-01,F,F,419677
Canberra,2018-03-01,T,F,20351
Canberra,2018-03-01,T,T,3358
Canberra,2018-04-01,F,F,166623
Canberra,2018-04-01,T,F,8034
Canberra,2018-04-01,T,T,1377
Hobart,2017-06-01,F,F,48564
Hobart,2017-06-01,T,T,1163
Hobart,2017-06-01,T,F,2562
Hobart,2017-06-01,F,T,2
Hobart,2017-07-01,F,F,127800
Hobart,2017-07-01,T,F,6680
Hobart,2017-07-01,T,T,1745
Hobart,2017-07-01,F,T,5
Hobart,2017-08-01,F,F,120717
Hobart,2017-08-01,T,T,1743
Hobart,2017-08-01,T,F,6575
Hobart,2017-08-01,F,T,3
Hobart,2017-09-01,F,F,124596
Hobart,2017-09-01,T,F,6780
Hobart,2017-09-01,T,T,1944
Hobart,2017-09-01,F,T,8
Hobart,2017-10-01,T,F,6697
Hobart,2017-10-01,F,F,126916
Hobart,2017-10-01,T,T,1888
Hobart,2017-10-01,F,T,10
Hobart,2017-11-01,F,F,163241
Hobart,2017-11-01,T,F,7932
Hobart,2017-11-01,T,T,1801
Hobart,2017-11-01,F,T,8
Hobart,2017-12-01,F,F,144693
Hobart,2017-12-01,T,F,6830
Hobart,2017-12-01,T,T,1760
Hobart,2017-12-01,F,T,8
Hobart,2018-01-01,F,F,148546
Hobart,2018-01-01,T,T,1683
Hobart,2018-01-01,T,F,8932
Hobart,2018-01-01,F,T,13
Hobart,2018-02-01,F,F,166443
Hobart,2018-02-01,T,F,8647
Hobart,2018-02-01,T,T,1395
Hobart,2018-02-01,F,T,4
Hobart,2018-03-01,F,F,226613
Hobart,2018-03-01,T,F,7668
Hobart,2018-03-01,T,T,1650
Hobart,2018-03-01,F,T,5
Hobart,2018-04-01,F,F,108823
Hobart,2018-04-01,T,F,3128
Hobart,2018-04-01,T,T,755
Hobart,2018-04-01,F,T,2
Melbourne,2017-06-01,F,F,2208595
Melbourne,2017-06-01,T,F,90794
Melbourne,2017-06-01,T,T,15362
Melbourne,2017-06-01,F,T,46
Melbourne,2017-07-01,F,F,4377197
Melbourne,2017-07-01,T,F,193166
Melbourne,2017-07-01,T,T,28932
Melbourne,2017-07-01,F,T,66
Melbourne,2017-08-01,F,F,3942060
Melbourne,2017-08-01,T,F,171536
Melbourne,2017-08-01,T,T,25161
Melbourne,2017-08-01,F,T,54
Melbourne,2017-09-01,F,F,4062608
Melbourne,2017-09-01,T,F,185372
Melbourne,2017-09-01,T,T,26722
Melbourne,2017-09-01,F,T,53
Melbourne,2017-10-01,F,F,1105628
Melbourne,2017-10-01,T,F,52380
Melbourne,2017-10-01,T,T,6734
Melbourne,2017-10-01,F,T,9
Melbourne,2017-11-01,F,F,2466720
Melbourne,2017-11-01,T,F,105907
Melbourne,2017-11-01,T,T,13259
Melbourne,2017-11-01,F,T,50
Melbourne,2017-12-01,F,F,2589251
Melbourne,2017-12-01,T,F,108841
Melbourne,2017-12-01,T,T,15187
Melbourne,2017-12-01,F,T,39
Melbourne,2018-01-01,F,F,2605935
Melbourne,2018-01-01,T,F,120929
Melbourne,2018-01-01,T,T,13559
Melbourne,2018-01-01,F,T,34
Melbourne,2018-02-01,F,F,2280069
Melbourne,2018-02-01,T,F,117691
Melbourne,2018-02-01,T,T,13868
Melbourne,2018-02-01,F,T,24
Melbourne,2018-03-01,F,F,2549418
Melbourne,2018-03-01,T,F,131974
Melbourne,2018-03-01,T,T,15794
Melbourne,2018-03-01,F,T,38
Melbourne,2018-04-01,F,F,1075583
Melbourne,2018-04-01,T,F,55294
Melbourne,2018-04-01,T,T,6310
Melbourne,2018-04-01,F,T,10
Perth,2017-06-01,F,F,468669
Perth,2017-06-01,T,F,23741
Perth,2017-06-01,T,T,3459
Perth,2017-06-01,F,T,7
Perth,2017-07-01,F,F,931188
Perth,2017-07-01,T,F,46962
Perth,2017-07-01,T,T,6622
Perth,2017-07-01,F,T,10
Perth,2017-08-01,F,F,886712
Perth,2017-08-01,T,F,44436
Perth,2017-08-01,T,T,6501
Perth,2017-08-01,F,T,7
Perth,2017-09-01,F,F,1052291
Perth,2017-09-01,T,T,6176
Perth,2017-09-01,T,F,47182
Perth,2017-09-01,F,T,3
Perth,2017-10-01,F,F,902905
Perth,2017-10-01,T,F,51884
Perth,2017-10-01,T,T,5982
Perth,2017-10-01,F,T,7
Perth,2017-11-01,F,F,1000748
Perth,2017-11-01,T,F,61987
Perth,2017-11-01,T,T,6338
Perth,2017-11-01,F,T,10
Perth,2017-12-01,F,F,905444
Perth,2017-12-01,T,F,55240
Perth,2017-12-01,T,T,6517
Perth,2017-12-01,F,T,10
Perth,2018-01-01,F,F,999602
Perth,2018-01-01,T,F,62926
Perth,2018-01-01,T,T,5613
Perth,2018-01-01,F,T,13
Perth,2018-02-01,T,F,54527
Perth,2018-02-01,F,F,997768
Perth,2018-02-01,T,T,5421
Perth,2018-02-01,F,T,14
Perth,2018-03-01,F,F,988219
Perth,2018-03-01,T,F,64094
Perth,2018-03-01,T,T,5926
Perth,2018-03-01,F,T,8
Perth,2018-04-01,F,F,433772
Perth,2018-04-01,T,F,27086
Perth,2018-04-01,T,T,2544
Perth,2018-04-01,F,T,3
Sydney,2017-06-01,F,F,2593065
Sydney,2017-06-01,T,F,94279
Sydney,2017-06-01,T,T,21225
Sydney,2017-06-01,F,T,3
Sydney,2017-07-01,F,F,5011710
Sydney,2017-07-01,T,F,193644
Sydney,2017-07-01,T,T,34417
Sydney,2017-07-01,F,T,4
Sydney,2017-08-01,F,F,5225642
Sydney,2017-08-01,T,F,209270
Sydney,2017-08-01,T,T,33938
Sydney,2017-08-01,F,T,1
Sydney,2017-09-01,F,F,5105825
Sydney,2017-09-01,T,F,205205
Sydney,2017-09-01,T,T,34161
Sydney,2017-10-01,F,F,3249859
Sydney,2017-10-01,T,F,144370
Sydney,2017-10-01,T,T,22451
Sydney,2017-10-01,F,T,2
Sydney,2017-11-01,F,F,1723966
Sydney,2017-11-01,T,F,71306
Sydney,2017-11-01,T,T,10925
Sydney,2017-12-01,F,F,1841050
Sydney,2017-12-01,T,F,72556
Sydney,2017-12-01,T,T,13362
Sydney,2018-01-01,F,F,1839510
Sydney,2018-01-01,T,F,82982
Sydney,2018-01-01,T,T,11891
Sydney,2018-01-01,F,T,2
Sydney,2018-02-01,F,F,1665605
Sydney,2018-02-01,T,T,9867
Sydney,2018-02-01,T,F,68092
Sydney,2018-02-01,F,T,1
Sydney,2018-03-01,F,F,1843343
Sydney,2018-03-01,T,F,81696
Sydney,2018-03-01,T,T,11375
Sydney,2018-03-01,F,T,2
Sydney,2018-04-01,F,F,869662
Sydney,2018-04-01,T,T,4726
Sydney,2018-04-01,T,F,35490
